metric,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025
comparable_sales_growth,8.0,16.0,14.0,3.0,5.0,
comparable_sales_growth_ex_gas_fx,9.0,13.0,11.0,5.0,6.0,
executive_annual_fee_us,,,,,,130.0
executive_members,22.6,25.6,29.1,32.3,35.4,
executive_sales_penetration,,,71.0,72.8,73.3,
gold_star_annual_fee_us,60.0,60.0,60.0,60.0,,65.0
operating_floor_space,116.1,118.9,122.5,126.3,130.9,
paid_members,58.1,61.7,65.8,71.0,76.2,
renewal_rate_us_canada,91.0,91.0,93.0,92.7,92.9,
renewal_rate_worldwide,88.0,89.0,90.0,90.4,90.5,
total_cardholders,105.5,111.6,118.9,127.9,136.8,
warehouses_end_of_year,795.0,815.0,838.0,861.0,890.0,
